Fecha,Juego,Ingresos_Brutos,Ganancia_Neta
2023-10-07,Tragamonedas,2546.47,1747.18
2023-03-22,Ruleta,5662.7,897.91
2023-07-21,Ruleta,2925.95,4340.95
2023-06-07,Ruleta,3549.56,6929.91
2023-04-30,Tragamonedas,4602.82,1584.39
2023-02-28,Poker,8306.8,803.45
2023-08-03,Ruleta,1124.76,5566.96
2023-05-08,Tragamonedas,6844.41,2141.81
2023-08-12,Tragamonedas,7019.89,5892.68
2023-07-28,Ruleta,8187.9,5075.59
2023-04-25,Ruleta,9394.78,6646.88
2023-07-28,Poker,1181.24,3158.03
2023-01-14,Tragamonedas,2384.05,4802.8
2023-01-09,Tragamonedas,8975.54,3521.56
2023-02-09,Blackjack,5126.67,4598.83
2023-08-25,Tragamonedas,6081.32,3422.39
2023-10-08,Poker,6967.24,1726.11
2023-12-25,Blackjack,7111.6,3801.33
2023-07-20,Blackjack,9385.66,3935.8
2023-09-03,Blackjack,9972.54,5768.93
2023-10-05,Ruleta,7481.42,5280.88
2023-08-23,Ruleta,3584.99,4814.65
2023-01-04,Tragamonedas,8917.77,1237.02
2023-06-03,Blackjack,1442.99,5184.01
2023-01-29,Poker,3079.73,3751.98
2023-04-19,Ruleta,9076.47,6311.65
2023-04-08,Poker,3305.72,6479.16
2023-08-03,Poker,2985.86,858.52
2023-10-20,Ruleta,2243.13,5834.17
2023-03-16,Ruleta,8732.01,745.03
2023-11-22,Ruleta,5500.52,2886.6
2023-05-26,Ruleta,7074.04,4024.95
2023-05-08,Blackjack,3151.6,1462.66
2023-12-07,Blackjack,7822.36,5351.04
2023-02-11,Blackjack,7840.05,554.31
2023-12-22,Blackjack,3813.38,1595.89
2023-02-10,Tragamonedas,4696.14,4275.18
2023-02-03,Blackjack,2887.21,5143.52
2023-01-17,Ruleta,9789.05,6458.18
2023-06-14,Poker,6810.42,5085.73
2023-06-02,Blackjack,9410.89,4866.57
2023-03-17,Tragamonedas,3730.47,3063.22
2023-03-28,Ruleta,8037.02,508.35
2023-04-27,Poker,7892.73,1281.04
2023-12-28,Poker,7224.9,3974.6
2023-12-08,Blackjack,9690.75,4888.34
2023-01-27,Poker,4542.0,3213.41
2023-11-09,Blackjack,2176.46,5249.41
2023-10-14,Blackjack,7045.38,3892.1
2023-05-14,Ruleta,7563.79,982.15
2023-08-07,Ruleta,6175.55,1748.11
2023-06-17,Tragamonedas,2861.36,5959.99
2023-04-08,Ruleta,5540.1,5211.93
2023-09-25,Ruleta,3809.71,6315.95
2023-08-25,Blackjack,4847.2,1264.12
2023-11-05,Ruleta,6806.97,6936.45
2023-06-22,Blackjack,7706.93,1861.14
2023-07-09,Blackjack,3090.02,576.57
2023-05-02,Ruleta,4647.93,6983.25
