Timestamp,Emisiones_CO2_ton,Fuente_Emision
2023-10-14 10:00:00,0.16,Transporte
2023-11-13 21:00:00,0.47,Generacion_Electrica
2023-04-28 11:00:00,1.17,Transporte
2023-05-05 13:00:00,1.38,Generacion_Electrica
2023-10-25 10:00:00,1.16,Procesos_Industriales
2023-03-25 01:00:00,0.42,Transporte
2023-05-07 21:00:00,1.48,Generacion_Electrica
2023-09-16 01:00:00,0.68,Procesos_Industriales
2023-05-18 17:00:00,0.63,Transporte
2023-03-25 00:00:00,1.31,Procesos_Industriales
2023-05-30 23:00:00,0.19,Procesos_Industriales
2023-05-30 11:00:00,0.88,Transporte
2023-02-24 09:00:00,1.45,Generacion_Electrica
2023-09-23 03:00:00,0.24,Generacion_Electrica
2023-08-16 19:00:00,0.86,Procesos_Industriales
2023-07-05 19:00:00,0.29,Generacion_Electrica
2023-07-31 23:00:00,1.35,Transporte
2023-02-08 07:00:00,0.92,Transporte
2023-12-10 01:00:00,0.43,Procesos_Industriales
2023-02-23 10:00:00,0.53,Procesos_Industriales
2023-09-12 13:00:00,0.82,Transporte
2023-03-30 08:00:00,1.12,Transporte
2023-07-07 08:00:00,0.78,Procesos_Industriales
2023-05-12 06:00:00,0.36,Procesos_Industriales
2023-08-10 02:00:00,1.09,Transporte
2023-03-18 09:00:00,0.27,Procesos_Industriales
2023-11-18 19:00:00,1.23,Generacion_Electrica
2023-09-02 22:00:00,0.65,Transporte
2023-07-28 17:00:00,1.01,Transporte
2023-06-10 22:00:00,0.58,Procesos_Industriales
2023-01-06 08:00:00,1.04,Procesos_Industriales
2023-02-26 01:00:00,1.34,Transporte
2023-11-04 01:00:00,1.08,Procesos_Industriales
2023-10-25 04:00:00,1.04,Generacion_Electrica
2023-07-13 10:00:00,1.16,Procesos_Industriales
2023-05-15 07:00:00,0.8,Transporte
2023-05-25 20:00:00,0.41,Procesos_Industriales
2023-08-01 09:00:00,1.24,Transporte
2023-12-18 23:00:00,1.01,Generacion_Electrica
2023-08-27 10:00:00,0.54,Transporte
2023-07-17 18:00:00,0.49,Generacion_Electrica
2023-05-23 03:00:00,0.8,Generacion_Electrica
2023-01-04 03:00:00,0.39,Generacion_Electrica
2023-05-31 11:00:00,1.33,Generacion_Electrica
2023-11-30 09:00:00,1.2,Generacion_Electrica
2023-12-29 08:00:00,0.53,Procesos_Industriales
2023-05-22 08:00:00,0.17,Generacion_Electrica
2023-08-01 23:00:00,0.17,Procesos_Industriales
2023-09-12 23:00:00,0.52,Procesos_Industriales
2023-04-10 18:00:00,0.31,Procesos_Industriales
2023-03-01 00:00:00,1.32,Transporte
2023-11-23 19:00:00,0.69,Transporte
2023-12-18 07:00:00,0.59,Generacion_Electrica
2023-09-10 05:00:00,0.41,Procesos_Industriales
2023-03-16 01:00:00,1.28,Transporte
2023-09-21 02:00:00,1.21,Procesos_Industriales
2023-08-29 04:00:00,0.64,Transporte
2023-06-23 06:00:00,0.34,Procesos_Industriales
2023-06-22 18:00:00,1.43,Transporte
2023-04-20 15:00:00,0.54,Generacion_Electrica
2023-08-15 16:00:00,1.18,Generacion_Electrica
2023-05-22 05:00:00,0.75,Generacion_Electrica
2023-01-28 21:00:00,1.19,Procesos_Industriales
2023-05-29 09:00:00,0.77,Generacion_Electrica
2023-09-17 17:00:00,1.4,Generacion_Electrica
2023-08-19 21:00:00,1.22,Transporte
2023-11-16 02:00:00,0.46,Transporte
2023-07-14 02:00:00,0.7,Transporte
2023-11-06 05:00:00,0.24,Generacion_Electrica
2023-11-07 21:00:00,1.36,Transporte
2023-08-23 14:00:00,0.2,Transporte
2023-08-12 03:00:00,0.13,Generacion_Electrica
2023-11-30 20:00:00,0.8,Transporte
2023-07-05 11:00:00,0.94,Procesos_Industriales
2023-04-22 00:00:00,0.41,Transporte
2023-07-22 14:00:00,0.9,Procesos_Industriales
2023-12-20 23:00:00,1.35,Transporte
2023-03-05 03:00:00,0.98,Transporte
2023-01-25 07:00:00,0.74,Procesos_Industriales
2023-12-23 14:00:00,0.3,Generacion_Electrica
2023-12-27 10:00:00,0.34,Procesos_Industriales
2023-01-05 23:00:00,0.78,Generacion_Electrica
2023-05-17 20:00:00,0.75,Transporte
2023-11-26 12:00:00,0.83,Generacion_Electrica
2023-05-16 14:00:00,0.81,Generacion_Electrica
