Timestamp,Consumo_kWh,Temperatura_C,Humedad_Porcentaje,Produccion_MWh
2023-01-01 00:00:00,106.18,16.6,53.7,27.88
2023-01-01 01:00:00,192.61,16.8,40.87,22.93
2023-01-01 02:00:00,159.8,26.82,54.4,10.54
2023-01-01 03:00:00,139.8,26.99,75.58,41.88
2023-01-01 04:00:00,73.4,23.38,67.62,23.12
2023-01-01 05:00:00,73.4,23.64,45.82,24.29
2023-01-01 06:00:00,58.71,16.08,63.65,23.44
2023-01-01 07:00:00,179.93,25.33,75.69,29.95
2023-01-01 08:00:00,140.17,25.09,68.0,38.1
2023-01-01 09:00:00,156.21,17.99,45.95,40.87
2023-01-01 10:00:00,53.09,17.08,74.71,25.7
2023-01-01 11:00:00,195.49,17.47,52.06,36.52
2023-01-01 12:00:00,174.87,17.02,58.16,38.83
2023-01-01 13:00:00,81.85,27.19,61.05,21.88
2023-01-01 14:00:00,77.27,18.93,74.02,13.86
2023-01-01 15:00:00,77.51,20.03,77.26,45.79
2023-01-01 16:00:00,95.64,18.47,77.19,37.08
2023-01-01 17:00:00,128.71,34.16,40.32,35.92
2023-01-01 18:00:00,114.79,32.09,76.88,12.36
2023-01-01 19:00:00,93.68,19.61,42.18,42.71
2023-01-01 20:00:00,141.78,21.55,50.63,32.64
2023-01-01 21:00:00,70.92,19.2,60.6,43.92
2023-01-01 22:00:00,93.82,24.84,59.2,48.98
2023-01-01 23:00:00,104.95,15.39,64.19,48.28
2023-01-02 00:00:00,118.41,28.43,59.18,44.24
2023-01-02 01:00:00,167.78,25.46,77.38,10.44
2023-01-02 02:00:00,79.95,32.97,49.62,45.43
2023-01-02 03:00:00,127.14,18.29,50.96,13.0
2023-01-02 04:00:00,138.86,31.08,76.83,44.05
2023-01-02 05:00:00,56.97,30.84,43.07,21.21
2023-01-02 06:00:00,141.13,17.54,64.38,34.4
2023-01-02 07:00:00,75.58,22.97,67.27,11.52
2023-01-02 08:00:00,59.76,18.4,60.22,40.85
2023-01-02 09:00:00,192.33,20.09,67.77,14.47
2023-01-02 10:00:00,194.84,20.26,46.91,26.43
2023-01-02 11:00:00,171.26,26.12,74.11,42.7
2023-01-02 12:00:00,95.69,23.23,45.6,37.81
2023-01-02 13:00:00,64.65,33.95,56.03,10.24
